"","trip_id","direction_id","route_id","date_time","vehicle_id","segement","segement_name","segement_type","time_diff","ttl_diff","speed_avg","flag_peak","time_diff_pct"
"83","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:31:16,19123,"497_482","18th_23rd","middle_middle",60,844.874344689683,31.498830618546,"PMPeak",0.0587084148727984
"84","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:34:16,19123,"537_509","ramp_14th","middle_middle",150,1556.92309037617,23.218248733958,"PMPeak",0.146771037181996
"85","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:38:47,19123,"636_537","4th_ramp","middle_middle",271,4774.55693644289,39.41099001911,"PMPeak",0.265166340508806
"86","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:41:17,19123,"657_636","grove_4th","middle_middle",150,1041.52976334691,15.5322361513479,"PMPeak",0.146771037181996
"87","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:44:17,19123,"689_657","88th_grove","middle_middle",180,1551.40969419059,19.2800233093551,"PMPeak",0.176125244618395
"88","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:46:18,19123,"712_689","100th_88th","end_middle",121,1196.85234717939,22.1262983643808,"PMPeak",0.11839530332681
"89","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:54:16,15104,"459_712","Hewitt_100th","end_end",1142,12147.8375125566,23.7950394518287,"AMPeak",1
"90","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:54:16,15104,"482_459","23rd_Hewitt","middle_end",150,1168.98604242125,17.4329797452642,"AMPeak",0.131348511383538
"91","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:51:46,15104,"497_482","18th_23rd","middle_middle",60,855.986551447939,31.9131188741624,"AMPeak",0.0525394045534151
"92","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:50:16,15104,"537_509","ramp_14th","middle_middle",120,1201.17506124045,22.391264473258,"AMPeak",0.10507880910683
"93","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:48:16,15104,"636_537","4th_ramp","middle_middle",331,5086.45108397796,34.3748203685478,"AMPeak",0.28984238178634
"94","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:42:45,15104,"657_636","grove_4th","middle_middle",120,981.604095334178,18.2982128216705,"AMPeak",0.10507880910683
"95","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:40:45,15104,"689_657","88th_grove","middle_middle",210,1592.73527789904,16.9659375314399,"AMPeak",0.183887915936953
"96","10907525__MCOB-DO:111:6:Sunday:1:23MAR:41016:1234567","south_bound",201,2023-05-21 08:37:15,15104,"712_689","100th_88th","end_middle",121,997.308663724475,18.4373194462576,"AMPeak",0.105954465849387
"97","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 17:00:38,11105,"459_712","Hewitt_100th","end_end",1588,12211.5168087918,17.2017516147301,"PMPeak",1
"98","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 17:00:38,11105,"482_459","23rd_Hewitt","middle_end",146,1194.85085238999,18.3068827831634,"PMPeak",0.0919395465994962
"99","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 16:58:12,11105,"497_482","18th_23rd","middle_middle",60,848.466294216124,31.632746638644,"PMPeak",0.0377833753148615
"100","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 16:56:06,11105,"537_509","ramp_14th","middle_middle",90,1166.10765310494,28.9834243233995,"PMPeak",0.0566750629722922
"101","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 16:54:36,11105,"636_537","4th_ramp","middle_middle",377,4991.65337136515,29.6180613419843,"PMPeak",0.237405541561713
"102","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 16:48:19,11105,"657_636","grove_4th","middle_middle",241,1041.52123040867,9.66728769736699,"PMPeak",0.15176322418136
"103","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 16:44:18,11105,"689_657","88th_grove","middle_middle",396,1460.45119968582,8.24983804247577,"PMPeak",0.249370277078086
"104","10907531__MCOB-DO:111:6:Sunday:1:23MAR:41018:1234567","south_bound",201,2023-05-21 16:37:42,11105,"712_689","100th_88th","end_middle",212,1167.62256391724,12.3202686209376,"PMPeak",0.133501259445844
"105","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:20:25,16806,"459_712","Hewitt_100th","end_end",1369,12264.2882663468,20.0397574414674,"AMPeak",1
"106","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:00:06,16806,"482_459","23rd_Hewitt","middle_end",150,1067.24674396041,15.9157510829854,"AMPeak",0.109569028487947
"107","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:01:06,16806,"497_482","18th_23rd","middle_middle",60,970.816367476723,36.1942346966318,"AMPeak",0.043827611395179
"108","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:04:52,16806,"537_509","ramp_14th","middle_middle",196,1254.82784889727,14.3212734132698,"AMPeak",0.143170197224251
"109","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:10:53,16806,"636_537","4th_ramp","middle_middle",361,4883.50095966862,30.2606069327349,"AMPeak",0.263696128560993
"110","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:13:24,16806,"657_636","grove_4th","middle_middle",151,1133.79269551145,16.7961701796464,"AMPeak",0.110299488677867
"111","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:16:24,16806,"689_657","88th_grove","middle_middle",180,1505.31875624001,18.707231762825,"AMPeak",0.131482834185537
"112","11043492__MCOB-DO:121:0:Weekday:2:23MAR:41018:12345","north_bound",202,2023-05-18 06:20:25,16806,"712_689","100th_88th","end_middle",241,1181.58134067903,10.9673105306771,"AMPeak",0.176040905770635
"113","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 07:09:48,11111,"459_712","Hewitt_100th","end_end",1202,12432.5574633758,23.1371342445042,"AMPeak",1
"114","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 07:09:48,11111,"482_459","23rd_Hewitt","middle_end",159,920.558171915337,12.9511302820856,"AMPeak",0.132279534109817
"115","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 07:07:09,11111,"497_482","18th_23rd","middle_middle",60,872.733395362059,32.5374791747937,"AMPeak",0.0499168053244592
"116","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 07:04:44,11111,"537_509","ramp_14th","middle_middle",91,1292.12635715072,31.7626809325199,"AMPeak",0.0757071547420965
"117","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 07:03:13,11111,"636_537","4th_ramp","middle_middle",273,4766.94867740906,39.0599234675777,"AMPeak",0.22712146422629
"118","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 06:58:40,11111,"657_636","grove_4th","middle_middle",173,1000.08914180671,12.931418523217,"AMPeak",0.143926788685524
"119","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 06:55:47,11111,"689_657","88th_grove","middle_middle",220,1663.21780234418,16.9114171722935,"AMPeak",0.183028286189684
"120","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-22 06:52:07,11111,"712_689","100th_88th","end_middle",141,1297.86250291654,20.5903216725115,"AMPeak",0.117304492512479
"121","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-23 07:12:23,11119,"459_712","Hewitt_100th","end_end",1246,12324.5952031637,22.1262686158781,"AMPeak",1
"122","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-23 07:12:23,11119,"482_459","23rd_Hewitt","middle_end",105,993.028205949716,21.1556242181365,"AMPeak",0.0842696629213483
"123","11044135__MCOB-DO:121:0:Weekday:2:23MAR:41031:12345","south_bound",201,2023-05-23 07:10:38,11119,"497_482","18th_23rd","middle_middle",60,779.865085403325,29.0751380780295,"AMPeak",0.0481540930979133
